import time: self [us] | cumulative | imported package
import time:       276 |        276 |                 wtforms.fields.numeric
import time:       453 |        453 |                 wtforms.fields.simple
import time:       355 |       2833 |               wtforms.fields
import time:        11 |       2844 |             wtforms.fields.choices
import time:      1649 |       1649 |               wtforms.meta
import time:       297 |       1946 |             wtforms.form
import time:       361 |       6977 |           wtforms
import time:       250 |        250 |             wtforms.csrf
import time:       274 |        524 |           wtforms.csrf.core
import time:       459 |       7958 |         flask_wtf.csrf
import time:        64 |         64 |             babel
import time:       510 |        574 |           flask_wtf.i18n
import time:       274 |        847 |         flask_wtf.form
import time:       181 |        181 |             flask_wtf.recaptcha.widgets
import time:       235 |        235 |                   urllib.response
import time:       272 |        506 |                 urllib.error
import time:      1918 |       1918 |                 _scproxy
import time:      1946 |       4370 |               urllib.request
import time:       231 |       4600 |             flask_wtf.recaptcha.validators
import time:       356 |       5137 |           flask_wtf.recaptcha.fields
import time:       178 |       5314 |         flask_wtf.recaptcha
import time:       291 |      14409 |       flask_wtf
import time:       380 |      66188 |     app.extensions
import time:       465 |     448301 |   app
import time:      3261 |       3261 |     app.models.curriculum
import time:      1084 |       1084 |     app.models.decision
import time:      2595 |       2595 |     app.models.learning
import time:      1494 |       1494 |     app.models.mission
import time:      1863 |       1863 |     app.models.study_plan
import time:       806 |        806 |     app.models.subject
import time:      1174 |       1174 |     app.models.topic_progress
import time:       941 |        941 |     app.models.user
import time:       240 |      13454 |   app.models
[INFO] app: Kwalitec logging configured at level DEBUG
[WARNING] app: SECRET_KEY is using the default value. Set a strong key for production use.
[INFO] app: Environment: APP_ENV=development, FLASK_ENV=development
[INFO] app: Using local SQLite database (DATABASE_URL is not set)
[INFO] app: SQLAlchemy database driver prefix: sqlite://
import time:       256 |        256 |   flask_sqlalchemy.cli
import time:       297 |        297 |         sqlalchemy.dialects.sqlite.json
import time:      1655 |       1952 |       sqlalchemy.dialects.sqlite.base
import time:       488 |        488 |       sqlalchemy.dialects.sqlite.pysqlite
import time:       632 |       3071 |     sqlalchemy.dialects.sqlite.aiosqlite
import time:       275 |        275 |     sqlalchemy.dialects.sqlite.pysqlcipher
import time:       551 |        551 |     sqlalchemy.dialects.sqlite.dml
import time:       421 |       4316 |   sqlalchemy.dialects.sqlite
import time:      3790 |       3790 |       _sqlite3
import time:       440 |       4229 |     sqlite3.dbapi2
import time:       279 |       4507 |   sqlite3
import time:       820 |        820 |   flask_migrate.cli
import time:        47 |         47 |           app.services
import time:       983 |        983 |           app.services.readiness_service
import time:       515 |       1545 |         app.services.analytics_service
import time:       525 |       2069 |       app.analytics.routes
import time:       351 |       2420 |     app.analytics
import time:        12 |       2432 |   app.analytics.routes
import time:       348 |        348 |     app.auth
import time:       271 |        271 |     app.auth.forms
import time:       284 |        902 |   app.auth.routes
import time:       954 |        954 |     app.dashboard
import time:       275 |        275 |     app.services.adaptive_learning_service
import time:       217 |        217 |     app.services.burnout_monitor
import time:      1486 |       1486 |           app.curriculum.models
import time:       289 |        289 |             app.curriculum.exceptions
import time:       132 |        132 |               app.curriculum.schemas
import time:       834 |        966 |             app.curriculum.loader
import time:       123 |        123 |             app.curriculum.validator
import time:       301 |       1677 |           app.curriculum.repository
import time:       167 |        167 |           app.curriculum.seed
import time:       180 |       3509 |         app.curriculum
import time:         9 |       3517 |       app.curriculum.models
import time:       707 |       4224 |     app.services.curriculum_engine_service
import time:       266 |        266 |       app.services.study_plan_service
import time:       167 |        433 |     app.services.exam_timeline
import time:       448 |        448 |     app.services.time_engine_service
import time:       218 |        218 |       app.services.curriculum_service
import time:       150 |        368 |     app.services.mission_optimizer
import time:       200 |        200 |       app.services.mission_service
import time:       346 |        546 |     app.services.planning_service
import time:       292 |        292 |     app.services.recommendation_service
import time:       331 |       8084 |   app.dashboard.routes
import time:   2340530 |    2340530 |     app.mission
import time:   1614379 |    1614379 |     app.mission.forms
import time:   1580493 |    1580493 |     app.services.learning_service
import time:   1836541 |    7371941 |   app.mission.routes
import time:   2195977 |    2195977 |     app.settings
import time:   1519888 |    3715864 |   app.settings.routes
import time:   1334512 |    1334512 |     app.study_plan
import time:   1544488 |    1544488 |     app.services.examination_catalogue
import time:   1483288 |    1483288 |     app.study_plan.forms
import time:   2111305 |    6473591 |   app.study_plan.routes
import time:   1467090 |    1467090 |   app.cli
[INFO] alembic.runtime.migration: Context impl SQLiteImpl.
[INFO] alembic.runtime.migration: Will assume non-transactional DDL.
[INFO] app: Alembic: current database revision = 0a272936a47b
[INFO] app: Alembic: head script revision = 202609070003
[WARNING] app: Alembic: database is BEHIND head (db=0a272936a47b, head=202609070003). Migrations need to be applied.
import time:   1448898 |    1448898 |   app.services.startup_service
[INFO] app: Kwalitec application created successfully
import time:  13165473 |   34125920 | wsgi
