import time: self [us] | cumulative | imported package
import time:      2611 |       8733 |                           ssl
import time:       680 |        680 |                           asyncio.constants
import time:       314 |        314 |                           asyncio.coroutines
import time:       311 |        311 |                             contextvars
import time:       203 |        203 |                             asyncio.format_helpers
import time:       452 |        452 |                               asyncio.base_futures
import time:      1486 |       1486 |                               asyncio.exceptions
import time:       943 |        943 |                               asyncio.base_tasks
import time:      2497 |       5377 |                             _asyncio
import time:       560 |       6449 |                           asyncio.events
import time:      1030 |       1030 |                           asyncio.futures
import time:       492 |        492 |                           asyncio.protocols
import time:       340 |        340 |                             asyncio.transports
import time:       311 |        311 |                             asyncio.log
import time:      1205 |       1854 |                           asyncio.sslproto
import time:       135 |        135 |                               asyncio.mixins
import time:      3242 |       3377 |                             asyncio.locks
import time:       365 |        365 |                               asyncio.queues
import time:       418 |        418 |                               asyncio.timeouts
import time:       543 |       1325 |                             asyncio.tasks
import time:       262 |       4963 |                           asyncio.staggered
import time:       283 |        283 |                           asyncio.trsock
import time:      1093 |      40661 |                         asyncio.base_events
import time:      1068 |       1068 |                         asyncio.graph
import time:       616 |        616 |                         asyncio.runners
import time:       649 |        649 |                         asyncio.streams
import time:       347 |        347 |                         asyncio.subprocess
import time:       196 |        196 |                         asyncio.taskgroups
import time:       117 |        117 |                         asyncio.threads
import time:       521 |        521 |                           asyncio.base_subprocess
import time:       528 |        528 |                           asyncio.selector_events
import time:       519 |       1566 |                         asyncio.unix_events
import time:      3230 |      48446 |                       asyncio
import time:       105 |        105 |                       greenlet
import time:       318 |      48867 |                     sqlalchemy.util.concurrency
import time:      1250 |       1250 |                       sqlalchemy.util.langhelpers
import time:       491 |       1740 |                     sqlalchemy.util.deprecations
import time:       545 |     111770 |                   sqlalchemy.util
import time:       403 |        403 |                                     sqlalchemy.event.registry
import time:       288 |        690 |                                   sqlalchemy.event.legacy
import time:       608 |       1298 |                                 sqlalchemy.event.attr
import time:       441 |       1738 |                               sqlalchemy.event.base
import time:       468 |       2206 |                             sqlalchemy.event.api
import time:       245 |       2450 |                           sqlalchemy.event
import time:       403 |        403 |                                 sqlalchemy.log
import time:      1402 |       1805 |                               sqlalchemy.pool.base
import time:       559 |       2364 |                             sqlalchemy.pool.events
import time:       426 |        426 |                               sqlalchemy.util.queue
import time:       420 |        846 |                             sqlalchemy.pool.impl
import time:       260 |       3468 |                           sqlalchemy.pool
import time:       626 |        626 |                                 sqlalchemy.sql.roles
import time:       502 |        502 |                                 sqlalchemy.inspection
import time:      1325 |       2453 |                               sqlalchemy.sql._typing
import time:       816 |        816 |                                 sqlalchemy.sql.visitors
import time:       745 |        745 |                                 sqlalchemy.sql.cache_key
import time:      1025 |       1025 |                                   sqlalchemy.sql.operators
import time:       494 |       1519 |                                 sqlalchemy.sql.traversals
import time:      1951 |       5030 |                               sqlalchemy.sql.base
import time:       469 |        469 |                                   numbers
import time:      1013 |       1482 |                                 sqlalchemy.sql.coercions
import time:       628 |        628 |                                       sqlalchemy.sql.annotation
import time:      5334 |       5334 |                                             _decimal
import time:       196 |       5530 |                                           decimal
import time:      2114 |       2114 |                                           sqlalchemy.sql.type_api
import time:      4083 |      11726 |                                         sqlalchemy.sql.elements
import time:       331 |        331 |                                         sqlalchemy.util.topological
import time:      1615 |      13671 |                                       sqlalchemy.sql.ddl
import time:       531 |        531 |                                               _compat_pickle
import time:      2498 |       2498 |                                               _pickle
import time:       955 |       3982 |                                             pickle
import time:      1577 |       1577 |                                               _uuid
import time:       587 |       2164 |                                             uuid
import time:       258 |        258 |                                               sqlalchemy.engine._py_processors
import time:       327 |        584 |                                             sqlalchemy.engine.processors
import time:      2731 |       9460 |                                           sqlalchemy.sql.sqltypes
import time:      5551 |      15010 |                                         sqlalchemy.sql.selectable
import time:      3180 |      18190 |                                       sqlalchemy.sql.schema
import time:       942 |      33429 |                                     sqlalchemy.sql.util
import time:      1343 |      34772 |                                   sqlalchemy.sql.dml
import time:       892 |      35664 |                                 sqlalchemy.sql.crud
import time:      2351 |       2351 |                                 sqlalchemy.sql.functions
import time:      3862 |      43357 |                               sqlalchemy.sql.compiler
import time:       329 |        329 |                                 sqlalchemy.sql._dml_constructors
import time:       409 |        409 |                                 sqlalchemy.sql._elements_constructors
import time:       336 |        336 |                                 sqlalchemy.sql._selectable_constructors
import time:       697 |        697 |                                 sqlalchemy.sql.lambdas
import time:       346 |       2116 |                               sqlalchemy.sql.expression
import time:       517 |        517 |                                 sqlalchemy.sql.events
import time:       582 |       1099 |                               sqlalchemy.sql.naming
import time:       383 |        383 |                               sqlalchemy.sql.default_comparator
import time:      3933 |      58368 |                             sqlalchemy.sql
import time:        13 |      58381 |                           sqlalchemy.sql.compiler
import time:      1740 |      66038 |                         sqlalchemy.engine.interfaces
import time:       283 |        283 |                         sqlalchemy.engine.util
import time:      1075 |      67395 |                       sqlalchemy.engine.base
import time:      1584 |      68978 |                     sqlalchemy.engine.events
import time:       349 |        349 |                           urllib
import time:       914 |        914 |                           ipaddress
import time:      1163 |       2425 |                         urllib.parse
import time:       397 |        397 |                         sqlalchemy.dialects
import time:       707 |       3527 |                       sqlalchemy.engine.url
import time:       297 |        297 |                       sqlalchemy.engine.mock
import time:       679 |       4502 |                     sqlalchemy.engine.create
import time:       675 |        675 |                         sqlalchemy.engine.row
import time:      1518 |       2193 |                       sqlalchemy.engine.result
import time:       788 |       2980 |                     sqlalchemy.engine.cursor
import time:      1155 |       1155 |                     sqlalchemy.engine.reflection
import time:       350 |      77964 |                   sqlalchemy.engine
import time:       291 |        291 |                   sqlalchemy.schema
import time:       327 |        327 |                   sqlalchemy.types
import time:      1768 |       1768 |                         _bisect
import time:       228 |       1996 |                       bisect
import time:      2038 |       2038 |                       _random
import time:       485 |       4518 |                     random
